Event Clearance Description,Call Type,Priority,Initial Call Type,Final Call Type,Original Time Queued,Arrived Time,Precinct,Sector,Beat
ASSISTANCE RENDERED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - RESIDENTIAL - BURGLARY, SILENT/AUDIBLE",SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,2/2/2022 10:58,2/2/2022 11:48,SOUTH,ROBERT,R2
FOLLOW-UP REPORT MADE,"TELEPHONE OTHER, NOT 911",3,AUTO RECOVERY,AUTOMOBILES - RECOVERY (THEFT),2/2/2022 10:33,2/2/2022 11:55,NORTH,UNION,U2
ASSISTANCE RENDERED,ONVIEW,3,ORDER  - SERVICE OF DV COURT ORDER,DV - ASSIST VICTIM BY COURT ORDER,2/2/2022 10:23,2/2/2022 10:23,EAST,EDWARD,E1
ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",PREMISE CHECKS - CRIME PREVENTION,2/2/2022 10:11,2/2/2022 10:11,NORTH,UNION,U1
REPORT WRITTEN (NO ARREST),ONVIEW,3,BURG - RES (INCL UNOCC STRUCTURES ON PROP),BURGLARY - UNOCC STRUC ON RESN PROP,2/2/2022 10:09,2/2/2022 10:09,NORTH,BOY,B1
ASSISTANCE RENDERED,911,2,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,2/2/2022 10:04,2/2/2022 12:32,SOUTHWEST,FRANK,F2
ASSISTANCE RENDERED,911,2,TRESPASS,PROWLER - TRESPASS,2/2/2022 9:56,2/2/2022 10:04,WEST,DAVID,D1
REPORT WRITTEN (NO ARREST),911,2,BURG - COMM BURGLARY (INCLUDES SCHOOLS),BURGLARY - NON RESIDENTIAL/COMMERCIAL,2/2/2022 9:45,2/2/2022 13:09,WEST,KING,K1
SERVICE OF DVPA ORDER,ONVIEW,3,ORDER  - SERVICE OF DV COURT ORDER,DV - ASSIST VICTIM BY COURT ORDER,2/2/2022 9:45,2/2/2022 9:45,NORTH,UNION,U2
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,AUTO THEFT - VEH THEFT OR THEFT & RECOVERY,AUTOMOBILES - AUTO THEFT,2/2/2022 9:44,2/2/2022 13:22,WEST,QUEEN,Q3
ASSISTANCE RENDERED,ONVIEW,7,DIRECTED PATROL ACTIVITY,DIRECTED PATROL ACTIVITY,2/2/2022 9:41,2/2/2022 9:41,SOUTHWEST,FRANK,F1
REPORT WRITTEN (NO ARREST),ONVIEW,3,"HARAS - NO BIAS, THREATS OR MALICIOUSNESS","ASSAULTS - HARASSMENT, THREATS",2/2/2022 9:41,2/2/2022 9:41,NORTH,UNION,U2
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",5,TRU - SUSPICIOUS CIRCUMSTANCES,SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,2/2/2022 9:28,2/2/2022 9:29,NORTH,UNION,U3
ASSISTANCE RENDERED,ONVIEW,9,OFF DUTY EMPLOYMENT,OFF DUTY EMPLOYMENT,2/2/2022 9:24,2/2/2022 9:24,SOUTH,ROBERT,R1
ORAL WARNING GIVEN,911,2,"DISTURBANCE, MISCELLANEOUS/OTHER",PROWLER - TRESPASS,2/2/2022 9:24,2/2/2022 9:35,WEST,DAVID,D2
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",5,TRU - COMMERCIAL BURGLARY,"BURGLARY - RESIDENTIAL, UNOCCUPIED",2/2/2022 9:18,2/2/2022 9:18,SOUTH,ROBERT,R1
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,BURG - COMM BURGLARY (INCLUDES SCHOOLS),BURGLARY - NON RESIDENTIAL/COMMERCIAL,2/2/2022 9:15,2/2/2022 14:24,WEST,MARY,M3
ASSISTANCE RENDERED,911,1,SUICIDE - IP/JO SUICIDAL PERSON AND ATTEMPTS,CRISIS COMPLAINT - GENERAL,2/2/2022 9:14,2/2/2022 9:21,EAST,EDWARD,E3
ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",1,SFD - ASSIST ON FIRE OR MEDIC RESPONSE,PROWLER - TRESPASS,2/2/2022 9:06,2/2/2022 9:08,WEST,KING,K3
CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),"TELEPHONE OTHER, NOT 911",3,PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),2/2/2022 8:49,2/2/2022 9:06,EAST,GEORGE,G2
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",5,TRU - THEFT,THEFT - CAR PROWL,2/2/2022 8:37,2/2/2022 8:40,NORTH,NORA,N1
ASSISTANCE RENDERED,911,2,TRESPASS,DISTURBANCE - OTHER,2/2/2022 8:11,2/2/2022 8:25,EAST,EDWARD,E2
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",5,TRU - PROPERTY DESTRUCTION/DAMAGE,PROPERTY DEST (DAMG),2/2/2022 8:05,2/2/2022 8:06,NORTH,BOY,B2
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",5,TRU - THEFT,THEFT - CAR PROWL,2/2/2022 7:56,2/2/2022 7:57,SOUTHWEST,FRANK,F3
CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),"TELEPHONE OTHER, NOT 911",3,PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),2/2/2022 7:55,1/1/1900 0:00,NORTH,LINCOLN,L1
ASSISTANCE RENDERED,911,1,SFD - ASSIST ON FIRE OR MEDIC RESPONSE,ASSIST OTHER AGENCY - CITY AGENCY,2/2/2022 7:28,2/2/2022 7:31,SOUTH,OCEAN,O1
PROBLEM SOLVING PROJECT,ONVIEW,7,DIRECTED PATROL ACTIVITY,DIRECTED PATROL ACTIVITY,2/2/2022 7:07,2/2/2022 7:07,SOUTHWEST,WILLIAM,W2
ORAL WARNING GIVEN,ONVIEW,3,NUISANCE - MISCHIEF,MISCHIEF OR NUISANCE - GENERAL,2/2/2022 7:03,2/2/2022 7:03,WEST,MARY,M3
NO POLICE ACTION POSSIBLE OR NECESSARY,911,2,TRESPASS,PROWLER - TRESPASS,2/2/2022 7:01,2/2/2022 7:08,NORTH,LINCOLN,L2
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,2,TRAFFIC - MOVING VIOLATION,SUSPICIOUS CIRCUM. - SUSPICIOUS VEHICLE,2/2/2022 6:59,2/2/2022 8:45,WEST,DAVID,D1
REPORT WRITTEN (NO ARREST),911,2,SERVICE - WELFARE CHECK,CRISIS COMPLAINT - GENERAL,2/2/2022 6:58,2/2/2022 7:13,NORTH,JOHN,J3
ASSISTANCE RENDERED,911,2,FIGHT - VERBAL/ORAL (NO WEAPONS),DISTURBANCE - OTHER,2/2/2022 6:46,2/2/2022 7:01,NORTH,NORA,N1
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,2,DIST - DV - NO ASLT,DISTURBANCE - OTHER,2/2/2022 6:42,2/2/2022 6:44,WEST,QUEEN,Q2
ASSISTANCE RENDERED,911,1,SUICIDE - IP/JO SUICIDAL PERSON AND ATTEMPTS,SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,2/2/2022 6:39,2/2/2022 6:48,WEST,DAVID,D2
ASSISTANCE RENDERED,911,2,SEX IN PUBLIC PLACE/VIEW (INCL MASTURBATION),PROWLER - TRESPASS,2/2/2022 6:30,2/2/2022 6:40,NORTH,UNION,U2
PROBLEM SOLVING PROJECT,ONVIEW,7,DIRECTED PATROL ACTIVITY,DIRECTED PATROL ACTIVITY,2/2/2022 6:15,2/2/2022 6:15,SOUTHWEST,FRANK,F1
ASSISTANCE RENDERED,911,4,PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),2/2/2022 6:09,2/2/2022 6:24,SOUTH,OCEAN,O2
ASSISTANCE RENDERED,911,3,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,2/2/2022 6:05,2/2/2022 6:20,NORTH,JOHN,J3
ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",PREMISE CHECKS - BUSINESS CHECK,2/2/2022 5:29,2/2/2022 5:29,WEST,QUEEN,Q2
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,2,THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),DISTURBANCE - OTHER,2/2/2022 4:59,2/2/2022 5:15,NORTH,UNION,U1
OTHER REPORT MADE,ONVIEW,4,SEX OFFENDER - FAILURE TO REGISTER,--SEX OFFENSES (NON-RAPE) - FAILURE TO REGISTER,2/2/2022 4:46,2/2/2022 4:46,SOUTH,OCEAN,O3
ASSISTANCE RENDERED,911,2,TRESPASS,MISCHIEF OR NUISANCE - GENERAL,2/2/2022 4:38,2/2/2022 5:15,WEST,KING,K1
NO POLICE ACTION POSSIBLE OR NECESSARY,ONVIEW,7,DIRECTED PATROL ACTIVITY,DIRECTED PATROL ACTIVITY,2/2/2022 4:03,2/2/2022 4:03,SOUTHWEST,FRANK,F1
ASSISTANCE RENDERED,911,3,NUISANCE - MISCHIEF,PROWLER - TRESPASS,2/2/2022 4:01,2/2/2022 4:37,WEST,QUEEN,Q3
RESPONDING UNIT(S) CANCELLED BY RADIO,911,2,TRESPASS,PROWLER - TRESPASS,2/2/2022 3:59,1/1/1900 0:00,EAST,EDWARD,E3
ASSISTANCE RENDERED,911,3,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,2/2/2022 3:35,2/2/2022 3:54,NORTH,UNION,U3
REPORT WRITTEN (NO ARREST),911,2,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",BURGLARY - NON RESIDENTIAL/COMMERCIAL,2/2/2022 3:27,2/2/2022 3:32,EAST,EDWARD,E3
REPORT WRITTEN (NO ARREST),911,1,OVERDOSE - DRUG RELATED CASUALTY,CASUALTY NON-TRAF NON-CRIM - DRUG RELATED (OD),2/2/2022 2:59,2/2/2022 3:04,WEST,KING,K3
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,2,"DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCE - OTHER,2/2/2022 2:42,2/2/2022 4:01,WEST,QUEEN,Q3
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,2,"DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCE - OTHER,2/2/2022 2:21,2/2/2022 4:02,NORTH,LINCOLN,L2
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,2,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,2/2/2022 2:06,2/2/2022 4:45,NORTH,LINCOLN,L3
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,1,PROWLER - IP/JO,PROWLER - TRESPASS,2/2/2022 2:00,2/2/2022 2:13,NORTH,NORA,N1
ASSISTANCE RENDERED,911,2,TRESPASS,PROWLER - TRESPASS,2/2/2022 1:50,1/1/1900 0:00,EAST,EDWARD,E3
ASSISTANCE RENDERED,911,1,BURG - IP/JO - RES (INCL UNOCC STRUCTURES),"SUSPICIOUS CIRCUM. - BUILDING (OPEN DOOR, ETC)",2/2/2022 1:21,2/2/2022 1:23,NORTH,UNION,U2
NO POLICE ACTION POSSIBLE OR NECESSARY,911,1,SHOTS - IP/JO - INCLUDES HEARD/NO ASSAULT,DISTURBANCE - NOISE,2/2/2022 0:51,2/2/2022 0:57,EAST,GEORGE,G2
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,TRAFFIC - REFUSE TO STOP (PURSUIT),2/2/2022 0:43,2/2/2022 0:43,EAST,GEORGE,G1
REPORT WRITTEN (NO ARREST),ONVIEW,3,AUTO RECOVERY,AUTOMOBILES - RECOVERY (THEFT),2/2/2022 0:16,2/2/2022 0:16,WEST,KING,K3
REPORT WRITTEN (NO ARREST),ONVIEW,9,DOWN - CHECK FOR DOWN PERSON,TRAFFIC - D.U.I.,2/2/2022 0:13,2/2/2022 0:13,NORTH,NORA,N3
ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",PREMISE CHECKS - REQUEST TO WATCH,2/1/2022 23:59,2/1/2022 23:59,SOUTH,ROBERT,R2
REPORT WRITTEN (NO ARREST),911,1,BURG - IP/JO - RES (INCL UNOCC STRUCTURES),BURG - IP/JO - RES (INCL UNOCC STRUCTURES),2/1/2022 23:56,2/2/2022 0:00,NORTH,UNION,U1
ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",1,SERVICE - WELFARE CHECK,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),2/1/2022 23:48,2/1/2022 23:57,NORTH,UNION,U3
ASSISTANCE RENDERED,911,2,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",PROWLER - TRESPASS,2/1/2022 23:35,2/1/2022 23:42,NORTH,NORA,N1
REPORT WRITTEN (NO ARREST),911,1,SUICIDE - IP/JO SUICIDAL PERSON AND ATTEMPTS,CRISIS COMPLAINT - GENERAL,2/1/2022 23:26,2/1/2022 23:30,SOUTHWEST,FRANK,F2
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,2,"DISTURBANCE, MISCELLANEOUS/OTHER",SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,2/1/2022 23:21,2/2/2022 1:28,NORTH,LINCOLN,L2
REPORT WRITTEN (NO ARREST),911,3,PERSON IN BEHAVIORAL/EMOTIONAL CRISIS,CRISIS COMPLAINT - GENERAL,2/1/2022 23:20,2/2/2022 4:12,WEST,QUEEN,Q1
ASSISTANCE RENDERED,911,2,"OPEN - BUILDING, DOOR, ETC.",SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,2/1/2022 23:18,2/2/2022 3:56,WEST,QUEEN,Q3
REPORT WRITTEN (NO ARREST),911,2,TRESPASS,DISTURBANCE - OTHER,2/1/2022 23:06,2/1/2022 23:47,EAST,EDWARD,E3
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",2,ASSIST OTHER AGENCY - ROUTINE SERVICE,CRISIS COMPLAINT - GENERAL,2/1/2022 23:04,2/1/2022 23:42,EAST,GEORGE,G2
REPORT WRITTEN (NO ARREST),911,3,PERSON IN BEHAVIORAL/EMOTIONAL CRISIS,CRISIS COMPLAINT - GENERAL,2/1/2022 22:59,2/2/2022 0:47,EAST,EDWARD,E1
-,911,1,"AUTO THEFT-IP/JO - VEHICLE, PLATES, TABS","AUTO THEFT-IP/JO - VEHICLE, PLATES, TABS",2/1/2022 22:39,2/1/2022 22:45,WEST,MARY,M3
ASSISTANCE RENDERED,911,3,"DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCE - OTHER,2/1/2022 22:36,2/1/2022 23:08,WEST,MARY,M3
OTHER REPORT MADE,911,1,MVC - WITH INJURIES (INCLUDES HIT AND RUN),TRAFFIC - MV COLLISION INVESTIGATION,2/1/2022 22:33,2/1/2022 22:42,WEST,DAVID,D2
ASSISTANCE RENDERED,911,3,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,2/1/2022 22:32,1/1/1900 0:00,EAST,EDWARD,E1
-,911,2,"DISTURBANCE, MISCELLANEOUS/OTHER","DISTURBANCE, MISCELLANEOUS/OTHER",2/1/2022 22:25,2/1/2022 22:32,WEST,KING,K3
ASSISTANCE RENDERED,911,2,TRESPASS,DISTURBANCE - OTHER,2/1/2022 22:22,2/1/2022 22:34,NORTH,BOY,B1
ASSISTANCE RENDERED,911,2,PERSON IN BEHAVIORAL/EMOTIONAL CRISIS,ASSIST OTHER AGENCY - CITY AGENCY,2/1/2022 22:12,2/1/2022 22:14,NORTH,NORA,N3
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,1,UNKNOWN - COMPLAINT OF UNKNOWN NATURE,DISTURBANCE - NOISE RESIDENTIAL,2/1/2022 22:00,2/1/2022 22:02,SOUTHWEST,FRANK,F2
ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",3,DETOX - REQUEST FOR,INTOX & LIQ VIOLS - INTOXICATED PERSON,2/1/2022 21:57,1/1/1900 0:00,EAST,EDWARD,E3
ASSISTANCE RENDERED,911,1,BURG - IP/JO - RES (INCL UNOCC STRUCTURES),DISTURBANCE - NOISE RESIDENTIAL,2/1/2022 20:57,2/1/2022 21:06,NORTH,NORA,N3
PHYSICAL ARREST MADE,911,1,ASLT - IP/JO - DV,DV - DOMESTIC VIOLENCE (ARREST DISCRETIONARY),2/1/2022 20:54,2/1/2022 21:00,EAST,GEORGE,G1
ASSISTANCE RENDERED,ONVIEW,3,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,2/1/2022 20:48,2/1/2022 20:48,SOUTHWEST,WILLIAM,W1
CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),"TELEPHONE OTHER, NOT 911",3,PARKING VIOLATION (EXCEPT ABANDONED CAR),TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),2/1/2022 20:33,1/1/1900 0:00,EAST,EDWARD,E1
-,ONVIEW,2,"MVC - HIT AND RUN (NON INJURY), INCLUDES IP/JO","MVC - HIT AND RUN (NON INJURY), INCLUDES IP/JO",2/1/2022 20:28,2/1/2022 20:28,WEST,DAVID,D3
ASSISTANCE RENDERED,911,3,DETOX - REQUEST FOR,INTOX & LIQ VIOLS - INTOXICATED PERSON,2/1/2022 20:18,1/1/1900 0:00,EAST,EDWARD,E3
ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",2,ASSIST OTHER AGENCY - ROUTINE SERVICE,ASSIST OTHER AGENCY - COUNTY AGENCY,2/1/2022 20:13,2/1/2022 22:53,WEST,QUEEN,Q2
ASSISTANCE RENDERED,911,2,"DISTURBANCE, MISCELLANEOUS/OTHER",CRISIS COMPLAINT - GENERAL,2/1/2022 20:09,2/1/2022 22:58,SOUTHWEST,WILLIAM,W1
ASSISTANCE RENDERED,ONVIEW,9,GAS/MAINTENANCE/WASH/GARAGE,GAS/MAINTENANCE/WASH/GARAGE,2/1/2022 20:06,2/1/2022 20:06,WEST,DAVID,D2
-,911,2,"DISTURBANCE, MISCELLANEOUS/OTHER","DISTURBANCE, MISCELLANEOUS/OTHER",2/1/2022 20:02,2/1/2022 20:10,WEST,KING,K2
-,911,2,TRESPASS,TRESPASS,2/1/2022 19:51,2/1/2022 20:22,EAST,CHARLIE,C3
RESPONDING UNIT(S) CANCELLED BY RADIO,911,1,ROBBERY - IP/JO (INCLUDES STRONG ARM),THEFT - SHOPLIFT,2/1/2022 19:48,1/1/1900 0:00,SOUTH,ROBERT,R2
REPORT WRITTEN (NO ARREST),911,1,SFD - ASSIST ON FIRE OR MEDIC RESPONSE,ASSIST OTHER AGENCY - CITY AGENCY,2/1/2022 19:15,2/1/2022 19:33,SOUTHWEST,FRANK,F3
ASSISTANCE RENDERED,ONVIEW,2,TRAFFIC - BLOCKING ROADWAY,TRAFFIC - BLOCKING TRAFFIC,2/1/2022 18:46,2/1/2022 18:46,WEST,DAVID,D2
-,911,2,ASLT - WITH OR W/O WEAPONS (NO SHOOTINGS),ASLT - WITH OR W/O WEAPONS (NO SHOOTINGS),2/1/2022 18:42,2/1/2022 20:28,NORTH,UNION,U1
REPORT WRITTEN (NO ARREST),911,1,ROBBERY - IP/JO (INCLUDES STRONG ARM),CRISIS COMPLAINT - GENERAL,2/1/2022 18:40,2/1/2022 18:43,WEST,DAVID,D3
NO POLICE ACTION POSSIBLE OR NECESSARY,911,2,TRESPASS,PROWLER - TRESPASS,2/1/2022 18:38,2/1/2022 20:08,WEST,MARY,M1
OTHER REPORT MADE,911,3,"MVC - REPORT, NON INJ/NON BLKG OR AFTER FACT INJ",TRAFFIC - MOVING VIOLATION,2/1/2022 18:25,2/1/2022 20:53,NORTH,UNION,U1
NO POLICE ACTION POSSIBLE OR NECESSARY,911,2,SHOPLIFT - THEFT,SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,2/1/2022 18:22,1/1/1900 0:00,NORTH,NORA,N1
ASSISTANCE RENDERED,TEXT MESSAGE,3,TRAFFIC - BO SIGNALS AND DOWN SIGNS,ASSIST OTHER AGENCY - CITY AGENCY,2/1/2022 18:20,2/1/2022 18:24,SOUTH,OCEAN,O3
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,"TELEPHONE OTHER, NOT 911",2,TRESPASS,PROWLER - TRESPASS,2/1/2022 18:09,2/1/2022 18:54,NORTH,LINCOLN,L1
ASSISTANCE RENDERED,911,1,TRAFFIC - ROAD RAGE,"WEAPON, PERSON WITH - GUN",2/1/2022 18:07,2/1/2022 18:23,SOUTHWEST,FRANK,F3
REPORT WRITTEN (NO ARREST),911,3,"MVC - REPORT, NON INJ/NON BLKG OR AFTER FACT INJ",TRAFFIC - MV COLLISION INVESTIGATION,2/1/2022 17:47,2/1/2022 17:51,EAST,EDWARD,E2
ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",2,ASSIST OTHER AGENCY - ROUTINE SERVICE,ASSIST OTHER AGENCY - CITY AGENCY,2/1/2022 17:45,2/1/2022 18:15,NORTH,BOY,B3
ASSISTANCE RENDERED,911,3,DETOX - REQUEST FOR,INTOX & LIQ VIOLS - INTOXICATED PERSON,2/1/2022 17:33,1/1/1900 0:00,EAST,EDWARD,E1
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",2,ASSIST OTHER AGENCY - ROUTINE SERVICE,THEFT - AUTO ACCESSORIES,2/1/2022 17:16,2/1/2022 18:02,WEST,QUEEN,Q2
FALSE COMPLAINT/UNFOUNDED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - COMM, SILENT/AUD BURG (INCL BANKS)","ALARM-COMM (INC BANK, ATM, SCHOOLS, BSN)",2/1/2022 17:13,2/1/2022 19:51,NORTH,LINCOLN,L1
ASSISTANCE RENDERED,911,2,"DISTURBANCE, MISCELLANEOUS/OTHER",--ASSIST PUBLIC - OTHER (NON-SPECIFIED),2/1/2022 17:00,1/1/1900 0:00,SOUTH,ROBERT,R3
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,2,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,2/1/2022 16:56,1/1/1900 0:00,NORTH,BOY,B1
REPORT WRITTEN (NO ARREST),ONVIEW,1,ASLT - IP/JO - WITH OR W/O WPNS (NO SHOOTINGS),"ASSAULTS, OTHER",2/1/2022 16:30,2/1/2022 16:30,NORTH,UNION,U1
REPORT WRITTEN (NO ARREST),ONVIEW,3,AUTO RECOVERY,AUTOMOBILES - RECOVERY (THEFT),2/1/2022 16:27,2/1/2022 16:27,SOUTH,OCEAN,O3
REPORT WRITTEN (NO ARREST),911,1,UNKNOWN - ANI/ALI - WRLS PHNS (INCL OPEN LINE),CRISIS COMPLAINT - GENERAL,2/1/2022 16:27,2/1/2022 16:38,EAST,GEORGE,G1
REPORT WRITTEN (NO ARREST),ONVIEW,4,PROPERTY - FOUND,PROPERTY - FOUND PROPERTY,2/1/2022 16:16,2/1/2022 16:16,WEST,MARY,M3
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",5,TRU - THEFT,PROPERTY DEST (DAMG),2/1/2022 16:13,2/1/2022 16:35,WEST,MARY,M1
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",5,TRU - FORGERY/CHKS/BUNCO/SCAMS/ID THEFT,"FRAUD - FRAUD, INCLUDING BUNCO",2/1/2022 16:12,2/1/2022 16:12,NORTH,NORA,N1
REPORT WRITTEN (NO ARREST),911,1,ROBBERY - IP/JO (INCLUDES STRONG ARM),ROBBERY - ARMED,2/1/2022 15:54,2/1/2022 15:57,SOUTH,OCEAN,O2
REPORT WRITTEN (NO ARREST),911,1,DIST - IP/JO - DV DIST - NO ASLT,CRISIS COMPLAINT - GENERAL,2/1/2022 15:50,2/1/2022 15:52,SOUTHWEST,FRANK,F2
ASSISTANCE RENDERED,911,2,TRESPASS,PROWLER - TRESPASS,2/1/2022 15:49,2/1/2022 16:04,NORTH,BOY,B2
ASSISTANCE RENDERED,911,1,UNKNOWN - COMPLAINT OF UNKNOWN NATURE,DISTURBANCE - OTHER,2/1/2022 15:45,2/1/2022 15:52,WEST,QUEEN,Q3
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,3,LIQUOR VIOLATIONS - ADULT,INTOX & LIQ VIOLS - INTOXICATED PERSON,2/1/2022 15:40,1/1/1900 0:00,NORTH,UNION,U1
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,PROPERTY - DAMAGE,PROPERTY DEST (DAMG),2/1/2022 15:38,2/1/2022 19:31,SOUTHWEST,FRANK,F2
ASSISTANCE RENDERED,911,2,ROBBERY (INCLUDES STRONG ARM),THEFT - CAR PROWL,2/1/2022 15:37,2/1/2022 15:43,WEST,DAVID,D3
UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,2,SHOPLIFT - THEFT,THEFT - SHOPLIFT,2/1/2022 15:22,2/1/2022 15:27,NORTH,LINCOLN,L1
ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",3,TRAFFIC - MOVING VIOLATION,TRAFFIC - MOVING VIOLATION,2/1/2022 15:01,1/1/1900 0:00,SOUTH,ROBERT,R2
ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",3,AUTO THEFT - VEH THEFT OR THEFT & RECOVERY,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),2/1/2022 14:54,1/1/1900 0:00,SOUTH,ROBERT,R2
NO POLICE ACTION POSSIBLE OR NECESSARY,911,2,"DISTURBANCE, MISCELLANEOUS/OTHER",DISTURBANCE - OTHER,2/1/2022 14:45,2/1/2022 16:05,NORTH,BOY,B2
REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,AUTO THEFT - VEH THEFT OR THEFT & RECOVERY,AUTOMOBILES - AUTO THEFT,2/1/2022 14:32,2/1/2022 15:18,WEST,QUEEN,Q2
REPORT WRITTEN (NO ARREST),911,1,MVC - WITH INJURIES (INCLUDES HIT AND RUN),TRAFFIC - MV COLLISION INVESTIGATION,2/1/2022 14:28,2/1/2022 14:43,SOUTH,SAM,S3
ASSISTANCE RENDERED,911,1,ASLT - IP/JO - DV,DISTURBANCE - NOISE RESIDENTIAL,2/1/2022 14:16,2/1/2022 14:30,EAST,GEORGE,G2
ASSISTANCE RENDERED,911,2,THREATS (INCLS IN-PERSON/BY PHONE/IN WRITING),DISTURBANCE - OTHER,2/1/2022 14:03,2/1/2022 16:01,WEST,KING,K3
REPORT WRITTEN (NO ARREST),911,3,"MVC - REPORT, NON INJ/NON BLKG OR AFTER FACT INJ",TRAFFIC - MV COLLISION INVESTIGATION,2/1/2022 13:55,2/1/2022 14:08,NORTH,BOY,B3
DUPLICATED OR CANCELLED BY RADIO,"TELEPHONE OTHER, NOT 911",2,TRESPASS,TRESPASS,2/1/2022 13:54,1/1/1900 0:00,WEST,DAVID,D3
